,Text,Article_Id
0,dollar gain greenspan speech dollar hit highest level euro almost three month feder reserv head said us trade deficit set stabilis  alan greenspan highlight us govern willing curb spend rise household save factor may help reduc  late trade new york  dollar reach  12871 euro   12974 thursday  market concern deficit hit greenback recent month  friday  feder reserv chairman mr greenspan speech london ahead meet g7 financ minist sent dollar higher earlier tumbl back worsethanexpect us job data   think chairman take much sanguin view current account deficit taken time   said robert sinch  head currenc strategi bank america new york   take longerterm view  lay set condit current account deficit improv year next   worri deficit concern china  howev  remain  china currenc remain peg dollar us currenc sharp fall recent month therefor made chines export price highli competit  call shift beij polici fallen deaf ear  despit recent comment major chines newspap  time ripe  loosen peg  g7 meet thought unlik produc meaning movement chines polici  meantim  us feder reserv decis 2 februari boost interest rate quarter point  sixth move mani month  open differenti european rate  halfpoint window  believ  could enough keep us asset look attract  could help prop dollar  recent fall partli result big budget deficit  well us yawn current account gap  need fund buy us bond asset foreign firm govern  white hous announc budget monday  mani comment believ deficit remain close half trillion dollar ,2
1,cactu diet deal phytopharm slim aid made southern african cactu set develop uk firm phytopharm unilev  anglodutch food giant unilev help pharmaceut firm develop snack contain hoodia extract  phytopharm share jump 107  news  analyst say sale  600m  £309m  year possibl  plant  licens phytopharm 1997  use thousand year san bushmen kalahari desert stave hunger  studi reportedli shown plant curb appetit instead reduc calorif intak like mani exist product  phytopharm receiv initi fee £65m unilev  potenti total £21m  well futur royalti product sale  deal  product hoodia cactu phytopharm nurseri south africa also rise eight million plant potenti hundr million  said phytopharm chief execut richard dixey  firm initi hope market slim drug hoodia pfizer  research collabor came end 2003 analyst said unilev could launch new product 2007   deal goe long way restor market faith phytopharm pipelin pfizer exit   said analyst erl refsum nomura ,302
2,air passeng win new eu right air passeng unabl board flight overbook  cancel flight delay demand greater compens  new eu rule set compens 250 euro  £173  600 euro  depend length flight  new rule appli schedul charter flight  includ budget airlin  airlin attack legisl say could forc push price higher cover extra cost  european commiss face two legal challeng  one european lowfar airlin associ  elaa  intern air transport associ  iata   attack packag  bad piec legisl   previous  passeng could claim 150 euro 300 euro stop board  howev  schedul flight oper oblig offer compens case overbook offer compens flight cancel  eu decid increas passeng compens bid deter airlin deliber overbook flight  overbook often lead bump   passeng move later flight  happen passeng  airlin offer compens  addit  flight cancel delay two hour fault airlin  passeng must paid compens  howev  airlin offer compens flight cancel delay due  extraordinari circumst   airlin fear  extraordinari circumst  may includ bad weather  secur alert strike  event outsid control  eubas airlin oper flight take eu adher new compens regim came forc thursday  lowcost airlin criticis new compens level  argu payout could worth ticket   preposter piec legisl  among airlin fight   ryanair deputi chief execut michael cawley told radio 4 today programm  european region airlin associ  eraa  claim neither airlin consum consult chang  andi clark  eraa director air transport  said ec advic mislead custom lead believ airlin could liabl payout flight delay bad weather  ec spokeswoman marja quillinanmeiland conced  grey area  said  big airlin make   case disput  nation enforc bodi would decid whether passeng case  said  new technolog mean easier airlin take land bad weather  ad  eraa mr clark also warn airlin would compli new rule  extra cost would pass onto passeng   reckon go cost european air passeng  airlin  airlin money  paid passeng  15bn euro  £1bn year load onto european passeng   mr clark said   basic transfer money passeng whose journey disrupt passeng whose journey disrupt   wednesday  jacqu barrot  vice presid european commiss also commission transport  said chang necessari   boom air travel need accompani proper protect passeng  right    concret exampl union benefit peopl daili live   ad  ec launch inform campaign airport travel agenc inform airlin passeng new right ,15
3,us bank boss hail geniu  smith us feder reserv chairman alan greenspan given speech scottish church honour pioneer economist  adam smith  deliv 14th adam smith lectur kirkcaldi  fife  adam smith lectur celebr author 1776 wealth nation  becam bibl capit  dr greenspan invit chancellor gordon brown  whose minist father john use preach st bryce kirk church  mr brown introduc dr greenspan 400 invit guest  world greatest economist   dr greenspan  79  uk attend g7 meet london  said world could never repay debt gratitud owe smith  whose geniu compar mozart  said philosoph  tower contributor modern world    kirkcaldi  birthplac 1723 adam smith  extens  modern econom  also cours  chancellor rear   led ponder extent chancellor renown econom financi skill result exposur sublimin intellectenhanc eman area   continu   smith reach far beyond insight predecessor frame global view market econom  emerg  work   support chang societ organis measur enhanc standard live   dr greenspan said smith revolutionari philosophi human selfinterest  laissezfair econom competit forc good world   incred insight hand intellectu enlighten  especi smith toil environ kirkcaldi  creat modern vision peopl free choos act accord individu selfinterest   said  follow lectur  dr greenspan  receiv honorari knighthood queen balmor 2002  award honorari fellowship royal societi edinburgh  later open exhibit dedic smith atrium fife colleg higher educ  joyc johnston  princip colleg  said   fit world premier economist deliv lectur tribut world first economist   dr greenspan  becam chairman feder reserv unpreced fifth term june 2004  step januari next year  serv presid georg w bush  bill clinton  georg bush  ronald reagan  also chairman council econom advisor gerald ford ,213
4,boe unveil new 777 aircraft us aircraft firm boe unveil new longdist 777 plane  tri regain posit industri lead manufactur  777200lr capabl fli almost 11000 mile nonstop  link citi london sydney  boe  contrast european rival airbu  hope airlin want fli smaller aircraft longer distanc  airbu  overtook boe number one civilian planemak 2003  focus socal super jumbo  analyst divid approach best say latest tussl boe airbu may prove defin moment airlin industri  boe plan offer twinengin plane abl fli direct mani world airport  get rid need connect flight  bank smaller  slimmer plane 777200lr muchanticip 787 dreamlin plane  set take sky 2008 777200lr  launch delay 11 septemb attack us  fifth variat boe twinaisl 777 plane  compani offic  rolledout  new 777 seattl 2200 gmt  better fuel effici engin made ge lighter materi mean plane connect almost two citi worldwid   boe latest variant success line airplan doubt continu success   said david learmount  oper safeti editor industri magazin flight intern  777200lr  nich player   mr learmount continu  ad reach criteria airlin use pick aircraft  mr learmount point 777200lr market coupl year limit success attract order  also said plane may abl fli sydney london one hit  prevail wind meant would stop somewher return journey  airbu  futur big  pin hope plane carri mani 840 peopl larg hub airport   passeng would ferri final destin smaller plane  airbu also keep option open plan compet main categori aircraft  produc rival boe 777 line year   airbu boe year ago  product rang  said flight intern mr learmount  boe airbu take order new plane  boe said expect sell 500 777200lr plane next 20 year  alreadi order pakistan intern airlin eva taiwan  order help underpin compani profit  boe said earn last three month 2004 drop 84  cost relat stop product smallest airlin  717  cancel us air forc 767 tanker contract  net profit  186m  £98m  143m euro  quarter  compar  113bn period 2003 ,69
5,indian oil firm eye yuko asset india biggest oil explor firm  oil  natur ga corp  ongc   say talk buy former asset troubl russian crude produc yuko   touch concern russian entiti yuko asset opportun russia   said ongc chairman subir raha  local press report ongc look buy 15  yuko  former key oil product unit  2bn  £1bn   yuko broken russian author pay massiv tax bill  forc sell key product unit yuganskneftega  yugansk  last month hit bill  27bn unpaid tax fine  stateown rosneft own yugansk russia said turn oil produc standalon firm  indian oil minist mani shankar aiyar discuss ongc plan trip moscow last year  topic came russian presid vladimir putin recent visit new delhi   would make great sens us build   said mr aiyar  india oil product stagnat recent year  look abroad secur futur suppli  india import 70  total oil consumpt  time  india economi boom countri thirst oil strong help push price crude worldwid  india produc 793000 barrel oil per day  bpd   littl chang sinc start 1990  accord oil industri analyst douglaswestwood  consumpt  meanwhil  jump 24 million bpd  compar 474000 bpd 1973   countri develop  access energi   said john westwood  manag director oil industri analyst douglaswestwood  india  dramat grow economi must access oil   buy yugansk  ongc would abl reduc depend gulf state oil import  mr westwood explain  especi chanc find exploit resourc within india slim   forecast indian product go signific declin   mr westwood said   2020  product may half today level   ongc  majorityown indian state  alreadi bought petroleum asset countri includ vietnam  sudan russia  compani partner rosneft sakhalin1 oil field russia siberian coast  ongc  howev  firm interest yugansk  chines crude compani china nation petroleum also mention possibl investor  thursday  itali refus rule interest  ongc interest latest twist saga seen one world biggest oil produc brought knee  disput partli driven presid putin clampdown polit ambit exyuko boss mikhail khodorkovski  current jail charg fraud tax evas  yuko battl russian author year file bankruptci protect us  analyst question long continu surviv without yugansk  thursday  us court said hear argument yuko  bankruptci claim thrown 16 februari  happen  yuko littl chanc claw back asset  analyst said ,399
6,busi fail plan hiv compani fail draw plan cope hivaid affect 20  peopl countri  new research say  find come report publish thursday world econom forum  harvard un aid agenc   compani respond proactiv social busi threat   said dr kate taylor  head wef global health initi  nearli 9000 busi leader 104 countri survey busi hivaid  commit action  dr taylor describ level action taken busi reveal report  littl  late   issu highlight busi world leader world econom forum  meet davo  switzerland  next week  wef report show despit fact 14000 peopl contract hivaid everi day  concern among busi drop 23  last 12 month   71   polici place address diseas  could 65  busi leader survey say estim preval hiv among staff  un programm tackl aid  unaid  point clear strategi deal hivaid good invest well social respons  one compani plan angloamerican  intern mine compani  estim hiv preval 24  among 130000strong southern african workforc  last two year compani implement extens voluntari counsel test hiv infect  coupl antiretrovir therapi employe progress aid  90  2200 employe access remain treatment well return normal work   effect action hivaid synonym good busi manag lead profit sustain oper   said brian brink  senior vicepresid  health  angloamerican   compani encourag worker know hiv statu  make routin monitor blood pressur cholesterol   said   provid access treatment critic part   across subsaharan africa  even countri hiv preval 1019   around 7  compani formal hivaid polici place  accord report  gap even wider china  ethiopia  india  nigeria russia  socal  next wave  countri  predict experi highest number new hivaid case worldwid 2010 report add  import build block understand busi commun experienc hivaid epidem whether react   said david bloom  professor econom demographi harvard school public health  wef report conclud busi need understand exposur hivaid risk come good local practic manag  key prioriti  high lowpreval set  said wef establish polici base nondiscrimin confidenti ,482
7,euronext join bid battl lse paneuropean stock market euronext approach london stock exchang  lse  possibl takeov bid   approach earli stage therefor requir respons point   lse said  talk european stock market rival bidder deutsch boers continu  lse said  last week  group reject £13bn   25bn  takeov offer deutsch boers  claim undervalu busi  lse saw share surg 49  new high 583p earli trade  follow announc monday  offer follow widespread media specul euronext would make offer lse  expert wide expect bid war europ biggest stock market  list stock total capitalis £14 trillion  break  comment say deal euronext  own liff deriv exchang london combin pari  amsterdam lisbon stock exchang  could potenti offer lse cost save deal deutsch boers  weekend report telegraph quot unnam execut euronext say group would make cash bid trump deutsch boers offer   alreadi liff london  cost save avail us merger far greater deutsch boers   newspap quot execut say  euronext chief execut jeanfrancoi theodor report alreadi held privat talk lse chief execut clara furs  report suggest euronext could make offer excess lse 533p share close price friday  howev  euronext said could guarante  stage  firm offer would made lse  extens specul possibl takeov compani sinc attempt merger deutsch boers fail 2000 ,319
8,korea spend boost economi south korea boost state spend next year effort creat job kick start sputter economi  earmark 100 trillion   96bn  first six month 2005  60  total annual budget  govern main problem  slump consumpt contract construct industri   aim creat 400000 job focu infrastructur home build  well provid public firm money hire new worker  govern set econom growth rate target 5  next year hint would danger unless took action   intern extern econom condit like remain unfavour 2005   financ economi ministri said statement  blame  continu uncertainti fluctuat oil price foreign exchang rate stagnant domest demand shown sign quick rebound   2004  growth 47  48   ministri said  everyon convinc plan work   primari worri centr believ govern overli optimist view front load budget enough turn economi around   consult 4cast said report  problem face south korea mani consum reel effect credit bubbl recent burst  million south korean default credit card bill  countri biggest card lender hover verg bankruptci month  part spend plan  govern said ask firm  roll mortgag loan come due first half 2005   also pledg look way help famili low incom  govern voic concern effect redund build trade   given econom spill employ effect construct sector  sharp downturn construct industri could advers effect   ministri said  result  south korea give privat compani also given chanc build school  hospit  hous public build  also look real estat tax system  plan tabl includ promot new industri biotechnolog nanotechnolog  well offer increas support small medium size busi   focu job creation econom recoveri  given unfavour domest global condit like dog korean economi 2005   ministri said ,258
9,bad weather hit nestl sale combin bad weather  rise raw materi cost sluggish european economi hit sale swiss food drink giant nestl  revenu dip 14  867bn swiss franc   746bn  £391bn  2004 sale ice cream miner water dampen wet summer  howev  nestl profit margin help strong perform america china  nestl rais dividend 11  pay back debt  nestl said strength swiss franc us dollar  dispos busi challeng trade condit europ dent sale  poor summer across contin  contrast prolong heat wave 2003   sever affect  demand ice cream  sale bottl water also fell  although chocol  coffe  frozen good petcar product perform better  elsewher  nestl said enjoy  except  year north america  outperform market term sale growth  nestl ad perform strongli africa asia despit impact high oil price polit instabl  nestl total earn interest remain broadli flat past year  despit compani manag boost profit margin  well increas dividend  nestl plan buy back share worth 1bn swiss franc   861m  £451m   look forward  nestl forecast organ earn growth 5  2005  although warn trade would remain competit  uncertainti remain futur perrier  icon french miner water own nestl  perrier lock longstand disput union product level busi  lead nestl consid sell firm   option sell perrier still tabl   chief execut peter brabeckletmath confirm thursday ,50
10,nasdaq plan  100mshare sale owner technologydomin nasdaq stock index plan sell share public list market oper  accord registr document file secur exchang commiss  nasdaq stock market plan rais  100m  £52m  sale  observ see anoth step closer full public list  howev nasdaq  icon 1990 technolog boom  recent pour cold water suggest  compani first sold share privat placement 2000 2001 technic went public 2002 stock start trade otc bulletin board  list equiti trade occasion  nasdaq make money sale  investor bought share privat place  file document said  nasdaq made share technolog firm compani high growth potenti  potent symbol 1990 internet telecom boom  nosediv bubbl burst  recoveri fortun tech giant intel  dotcom survivor amazon help reviv fortun ,365
