Team,Pl,W,D,L,F,A,GD,pts
Manchester United,38,24,8,6,79,31,48,80
Arsenal,38,20,10,8,63,38,25,70
Liverpool,38,20,9,9,71,39,32,69
Leeds United,38,20,8,10,64,43,21,68
Ipswich Town,38,20,6,12,57,42,15,66
Chelsea,38,17,10,11,68,45,23,61
Sunderland,38,15,12,11,46,41,5,57
Aston Villa,38,13,15,10,46,43,3,54
Charlton Athletic,38,14,10,14,50,57,-7,52
Southampton,38,14,10,14,40,48,-8,52
Newcastle United,38,14,9,15,44,50,-6,51
Tottenham Hotspur,38,13,10,15,47,54,-7,49
Leicester City,38,14,6,18,39,51,-12,48
Middlesbrough,38,9,15,14,44,44,0,42
West Ham United,38,10,12,16,45,50,-5,42
Everton,38,11,9,18,45,59,-14,42
Derby County,38,10,12,16,37,59,-22,42
Manchester City,38,8,10,20,41,65,-24,34
Coventry City,38,8,10,20,36,63,-27,34
Bradford City,38,5,11,22,30,70,-40,26
